Time,Position_1,Position_2,Position_3,Position_4,Position_5,Position_6,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6
7.1,0.0313179,-0.566524,2.12671,-0.0600075,-0.142675,0.00134013
7.2,0.0255014,-0.58039,2.12675,-0.0561445,-0.133938,0.000114771
7.3,0.0200628,-0.593398,2.12664,-0.0526448,-0.12629,-0.00229398
7.4,0.0149768,-0.605633,2.12631,-0.0490532,-0.118331,-0.00438576
7.5,0.0102566,-0.617049,2.12578,-0.0453278,-0.109912,-0.00599779
7.6,0.00591561,-0.6276,2.12512,-0.0414711,-0.101043,-0.00713908
7.7,0.00197126,-0.637216,2.12442,-0.0373944,-0.0911709,-0.006646
7.8,-0.00156189,-0.645836,2.12377,-0.033248,-0.0812196,-0.00663954
7.9,-0.00467772,-0.653458,2.1231,-0.0290731,-0.0712174,-0.0067145
8,-0.00737739,-0.66008,2.12244,-0.0249247,-0.0612149,-0.00649306
8.1,-0.00966365,-0.665701,2.12181,-0.0208251,-0.0512539,-0.00592261
8.2,-0.0115502,-0.670344,2.12127,-0.0169058,-0.0416079,-0.00480797
8.3,-0.0130448,-0.674023,2.12085,-0.0129865,-0.0319618,-0.00369332
8.4,-0.0141706,-0.676794,2.12052,-0.00988482,-0.024345,-0.00301166
8.5,-0.0149966,-0.678829,2.12026,-0.00639466,-0.0157617,-0.00209747
8.6,-0.0154332,-0.679905,2.12012,-0.00233757,-0.00576169,-0.000766733
